Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
120,07/20/2013,12:10 PM,12,U15B-1,3,TRI-STATE U15 WHITE (NJ),8,5,,,,35307
120,07/20/2013,12:10 PM,12,U15B-1,3,DIP N DUNK (NY),1,3,,,,35308
121,07/20/2013,12:10 PM,13,JVB-1,3,BLACK JACKS (MA),8,5,,,,35309
121,07/20/2013,12:10 PM,13,JVB-1,3,GREEN & GOLD JV (NJ),3,5,,,,35310
122,07/20/2013,12:10 PM,14,JVB-1,3,BUCKS 2016 - KREUTZER (PA),4,5,,,,35311
122,07/20/2013,12:10 PM,14,JVB-1,3,TEWAARATON LENAPE (NJ),3,5,,,,35312
123,07/20/2013,12:10 PM,15,JVB-1,3,EDGE 2016 WHITE (ON),13,4,,,,35313
123,07/20/2013,12:10 PM,15,JVB-1,3,EMMAUS STING (PA),2,5,,,,35314
124,07/20/2013,12:10 PM,16,JVB-1,3,BROTHERHOOD U16 (NJ),4,1,,,,35315
124,07/20/2013,12:10 PM,16,JVB-1,3,GRIP-IT N' RIP-IT BLUE (NY),3,1,,,,35316
125,07/20/2013,12:10 PM,17,JVB-1,3,TEAM 91 2016 STAMPEDE (NY),0,5,,,,35317
125,07/20/2013,12:10 PM,17,JVB-1,3,LV LIGHTNING SELECT BLUE (PA),12,4,,,,35318
126,07/20/2013,12:10 PM,18,U9,3,TEAM 91 2022 ORANGE (NY),11,4,,,,35319
